title,description,location,features,data,price
टू बीएचके फ्लैट इन टैगोर टाउन नियर यश्लोक हॉस्पिटल,ब्रोकर को बिकवा ने पर ब्रोकरेज दिया जाएगा,Tagore Town Allahabad Uttar Pradesh India,2 Bds - 1 Ba - 750 ft2,2020-06-10T14:32:08+0000,"₹ 43,99,999"
,,,,,
Flat at topsia Gj khan Road kol 39,"Alvester on top floor but designing falsiling council wiring fully tiles on top to bottom at kitchen and toilet, there are two room one bed room and one hall room  sweet water available but only toilet  height is little short",Jhautala Kolkata West Bengal India,1 Bds - 1 Ba - 310 ft2,2020-07-12T18:57:59+0000,"₹ 7,00,000"
,,,,,
2bhk flat  phoenix,2bedroom flat phoenix apartment,Edappally Kochi Kerala India,,2020-07-12T18:57:46+0000,"₹ 55,000"
,,,,,
Corner duplex house.,Corner duplex house Shayam Nagar Nx modular kitchen (good location House ),Sukhlia Indore Madhya Pradesh India,2 Bds - 2 Ba - 800 ft2,2020-07-12T18:57:37+0000,"₹ 31,00,000"
,,,,,
Luxury 3bhk pre-launch@bachupally,Premium 3bhk flats on pre-launch sale in bachupally in a high rise gated community with world class amenities in 10 acres of land.,Bachupally Hyderabad Telangana India,3 Bds - 3 Ba - 1556 ft2,2020-07-12T18:57:20+0000,"₹ 45,00,000"
,,,,,
"2 Big Parks, 2 Swimming pools, 24 hr Security, cctv,club house,etc",Moderate Villa,Deep Avenue Tarantaran Punjab India,4 Bds - 4 Ba - 6000 ft2,2020-07-12T18:57:02+0000,"₹ 90,00,000"
,,,,,
Prestige Spencer Heights – 3 BHK Apartments in Frazer Town,Prestige Spencer Heights – 3 BHK Apartments in Frazer Town   This is feng shui/vaastu compliant property. It is an wonderful view of park/garden. Fully power back up. The unit is located in a gated society.,Fraser town Bengaluru Karnataka India,3 Bds - 3 Ba - 2378 ft2,2020-07-12T18:56:51+0000,"₹ 3,40,00,000"
,,,,,
Flat for sale (urgent),02 Room set 01 kitchen 01 Balcony Separate washroom and Toilet  Add- Sugam Vihar Kalindipuram Prayagraj Intrested person contact on my number,Kalandipuram Allahabad Uttar Pradesh India,1 Bds - 1 Ba - 398 ft2,2020-07-12T18:56:32+0000,"₹ 20,00,000"
,,,,,
Pre-launch 3bhk@bachupally,Premium 3bhk flats on pre-launch sale in bachupally in a high rise gated community with world class amenities in 10 acres of land.,Bachupally Hyderabad Telangana India,3 Bds - 3 Ba - 1294 ft2,2020-07-12T18:55:13+0000,"₹ 37,50,000"
,,,,,
